Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_lateraloccipital,0.113,-0.164,-0.032,0.02,-0.071,0.008,-1.546,78,319,397,thickness,HY4+5-vs-PD,L_lateraloccipital,lh,0.1493056868036902,0.014986875235994351,0.0827605888602368,584,-0.164
R_lateraloccipital,0.002,-0.32,-0.066,0.021,-0.108,-0.024,-3.133,80,321,401,thickness,HY4+5-vs-PD,R_lateraloccipital,rh,0.1526839267879651,0.015249342898853374,0.0827605888602368,584,-0.32
L_lateralorbitofrontal,0.001,-0.402,-0.072,0.019,-0.108,-0.035,-2.883,83,328,411,thickness,HY4+5-vs-PD,L_lateralorbitofrontal,lh,0.2368625051545744,0.023367131520677296,0.0827605888602368,584,-0.402
R_lateralorbitofrontal,0.001,-0.484,-0.106,0.02,-0.145,-0.066,-4.325,83,328,411,thickness,HY4+5-vs-PD,R_lateralorbitofrontal,rh,0.2955741158849632,0.029159191892716756,0.0827605888602368,584,-0.484
L_lingual,0.002,-0.287,-0.054,0.018,-0.089,-0.019,-2.88,79,325,404,thickness,HY4+5-vs-PD,L_lingual,lh,0.2498141822812938,0.024857440201178464,0.0827605888602368,584,-0.287
R_lingual,0.14,-0.129,-0.028,0.019,-0.065,0.009,-1.444,77,317,394,thickness,HY4+5-vs-PD,R_lingual,rh,0.2610434941592119,0.026302362489256527,0.0827605888602368,584,-0.129
L_medialorbitofrontal,0.016,-0.26,-0.051,0.021,-0.093,-0.009,-2.209,83,326,409,thickness,HY4+5-vs-PD,L_medialorbitofrontal,lh,0.2972194770645651,0.029393114564965357,0.0827605888602368,584,-0.26
R_medialorbitofrontal,0.001,-0.366,-0.081,0.022,-0.124,-0.038,-3.568,83,326,409,thickness,HY4+5-vs-PD,R_medialorbitofrontal,rh,0.2374629973130645,0.023483579050395633,0.0827605888602368,584,-0.366
L_middletemporal,0.001,-0.484,-0.108,0.023,-0.154,-0.063,-4.152,77,308,385,thickness,HY4+5-vs-PD,L_middletemporal,lh,0.1664019105650013,0.016961253273861575,0.0827605888602368,584,-0.484
R_middletemporal,0.001,-0.461,-0.105,0.022,-0.148,-0.063,-3.976,82,318,400,thickness,HY4+5-vs-PD,R_middletemporal,rh,0.1421137530783172,0.01421137530783172,0.0827605888602368,584,-0.461
